"Order_ID","Order_Date","Customer_ID","Product_ID","Store_ID","Quantity","Unit_Price","Discount_%","Discount_Amount","Gross_Sales","Net_Sales","Profit","Payment_Mode","Order_Status"
"O500064","2025-01-03 00:00:00","C200873","P100494","S3066","1","606.24","10","60.62","606.24","545.62","-1538.97","Cash","Completed"
"O500065","2025-11-05 00:00:00","C204550","P100483","S3044","3","5455.07","10","1636.52","16365.21","14728.69","2609.71","Debit Card","Completed"
"O500066","2024-04-10 00:00:00","C204514","P100378","S3060","3","354.59","0","0","1063.77","1063.77","-480.66","UPI","Completed"
"O500067","2024-06-12 00:00:00","C203207","P100764","S3044","5","5521.19","15","4140.89","27605.95","23465.06","-755.04","Credit Card","Completed"
"O500068","2025-08-30 00:00:00","C201025","P100125","S3029","1","3539.86","0","0","3539.86","3539.86","2000.09","Debit Card","Completed"
"O500069","2025-07-18 00:00:00","C201106","P100108","S3075","1","6667.04","10","666.7","6667.04","6000.34","1093.47","Credit Card","Completed"
"O500070","2024-07-12 00:00:00","C203960","P100126","S3006","3","5857.71","15","2635.97","17573.13","14937.16","4270.81","Debit Card","Completed"
"O500071","2024-11-07 00:00:00","C201261","P100607","S3036","4","1883.78","15","1130.27","7535.12","6404.85","-1331.51","Wallet","Completed"
"O500072","2024-11-27 00:00:00","C204315","P100016","S3083","2","4554.97","10","910.99","9109.94","8198.95","-1305.67","Wallet","Completed"
"O500073","2025-11-19 00:00:00","C203205","P100231","S3106","2","2354.13","20","941.65","4708.26","3766.61","-4259.19","Wallet","Completed"
"O500074","2024-04-21 00:00:00","C202443","P100041","S3003","1","5986.21","0","0","5986.21","5986.21","1011.42","Debit Card","Completed"
"O500075","2025-09-13 00:00:00","C202408","P100135","S3011","3","531.87","15","239.34","1595.61","1356.27","-9926.07","Cash","Cancelled"
"O500076","2024-11-13 00:00:00","C203387","P100040","S3054","3","359.67","0","0","1079.01","1079.01","-12848.1","UPI","Completed"
"O500077","2025-09-05 00:00:00","C202330","P100590","S3001","4","2830.43","5","566.09","11321.72","10755.63","3424.91","Wallet","Completed"
"O500078","2024-09-23 00:00:00","C201583","P100741","S3063","3","81.07","10","24.32","243.21","218.89","-5124.2","Credit Card","Completed"
"O500079","2025-05-14 00:00:00","C200887","P100612","S3076","2","6970.16","0","0","13940.32","13940.32","10824","Debit Card","Completed"
"O500080","2025-05-02 00:00:00","C202693","P100230","S3064","4","4224.77","20","3379.82","16899.08","13519.26","-332.14","UPI","Completed"
"O500081","2025-12-13 00:00:00","C203938","P100500","S3072","1","3929.12","15","589.37","3929.12","3339.75","1929.46","Wallet","Completed"
"O500082","2025-06-17 00:00:00","C201884","P100530","S3102","1","1209.35","20","241.87","1209.35","967.48","402.14","Debit Card","Completed"
"O500083","2024-12-01 00:00:00","C201216","P100776","S3027","3","5644.12","20","3386.47","16932.36","13545.89","10060.34","UPI","Completed"
"O500084","2025-11-21 00:00:00","C204349","P100164","S3112","4","7851.87","0","0","31407.48","31407.48","25778","Cash","Completed"
"O500085","2024-07-07 00:00:00","C203125","P100457","S3044","1","7268.28","0","0","7268.28","7268.28","6919.96","UPI","Completed"
"O500086","2025-04-21 00:00:00","C200956","P100029","S3074","1","6416.56","15","962.48","6416.56","5454.08","2395.78","Wallet","Completed"
"O500087","2025-09-25 00:00:00","C202236","P100561","S3038","1","2370.82","5","118.54","2370.82","2252.28","1334.53","Credit Card","Completed"
"O500088","2025-08-10 00:00:00","C200342","P100387","S3058","3","823.35","20","494.01","2470.05","1976.04","-5557.02","Cash","Completed"
"O500089","2024-07-25 00:00:00","C202679","P100025","S3075","4","5833.58","20","4666.86","23334.32","18667.46","-1157.66","Credit Card","Completed"
"O500090","2024-12-23 00:00:00","C200304","P100339","S3020","4","3426.58","15","2055.95","13706.32","11650.37","10724.29","Wallet","Completed"
"O500091","2025-01-21 00:00:00","C203708","P100170","S3061","3","7778.28","0","0","23334.84","23334.84","22722.51","Debit Card","Completed"
"O500092","2025-10-03 00:00:00","C200215","P100054","S3029","4","4776.91","5","955.38","19107.64","18152.26","578.54","Debit Card","Completed"
"O500093","2024-02-16 00:00:00","C201337","P100538","S3107","2","647.96","0","0","1295.92","1295.92","-2005.46","Cash","Completed"
"O500094","2024-12-01 00:00:00","C203470","P100538","S3103","3","647.96","15","291.58","1943.88","1652.3","-3299.77","Credit Card","Cancelled"
"O500095","2024-03-17 00:00:00","C203628","P100439","S3019","5","4140.33","15","3105.25","20701.65","17596.4","16711.75","Wallet","Completed"
"O500096","2025-04-10 00:00:00","C203572","P100558","S3107","1","264.95","10","26.5","264.95","238.46","-109.24","Debit Card","Completed"
"O500097","2024-03-25 00:00:00","C200110","P100029","S3010","3","6416.56","15","2887.45","19249.68","16362.23","7187.33","Wallet","Completed"
"O500098","2024-11-12 00:00:00","C203348","P100187","S3001","5","3709.74","10","1854.87","18548.7","16693.83","-3270.47","Cash","Completed"
"O500099","2025-03-21 00:00:00","C203699","P100683","S3049","4","694.98","5","139","2779.92","2640.92","2060.92","Cash","Completed"
"O500100","2025-04-17 00:00:00","C201630","P100265","S3059","4","7064.87","0","0","28259.48","28259.48","15017.08","Debit Card","Returned"
"O500101","2025-10-08 00:00:00","C203871","P100177","S3076","2","6816.88","10","1363.38","13633.76","12270.38","3571.02","UPI","Completed"
"O500102","2024-07-05 00:00:00","C201954","P100261","S3031","3","7874.15","15","3543.37","23622.45","20079.08","5437.49","Credit Card","Completed"
"O500103","2025-07-19 00:00:00","C204214","P100218","S3089","5","596.42","0","0","2982.1","2982.1","-14653.9","Cash","Cancelled"
"O500104","2025-02-23 00:00:00","C202025","P100079","S3087","5","6296.38","10","3148.19","31481.9","28333.71","11302.81","Wallet","Returned"
"O500105","2025-05-08 00:00:00","C204372","P100650","S3031","5","4122.63","20","4122.63","20613.15","16490.52","4860.47","Cash","Completed"
"O500106","2025-06-03 00:00:00","C203952","P100182","S3043","3","5804.69","5","870.7","17414.07","16543.37","7094","Wallet","Completed"
"O500107","2024-10-24 00:00:00","C200201","P100362","S3024","5","3792.64","0","0","18963.2","18963.2","-5173.5","Wallet","Completed"
"O500108","2025-06-07 00:00:00","C200905","P100593","S3005","2","3596.83","20","1438.73","7193.66","5754.93","172.29","Cash","Completed"
"O500109","2024-02-28 00:00:00","C200705","P100388","S3017","5","7284.24","5","1821.06","36421.2","34600.14","19058.44","UPI","Completed"
"O500110","2024-04-25 00:00:00","C201810","P100727","S3005","1","6594.48","5","329.72","6594.48","6264.76","5471.42","Wallet","Completed"
"O500111","2024-09-05 00:00:00","C202229","P100231","S3013","4","2354.13","5","470.83","9416.52","8945.69","-7105.91","Debit Card","Completed"
"O500112","2025-01-05 00:00:00","C201532","P100098","S3094","3","3326.45","20","1995.87","9979.35","7983.48","5919.75","Cash","Completed"
"O500113","2025-12-10 00:00:00","C202934","P100182","S3109","5","5804.69","10","2902.34","29023.45","26121.1","10372.15","Credit Card","Completed"
"O500114","2024-10-09 00:00:00","C200443","P100217","S3022","1","295.17","15","44.28","295.17","250.89","-2858.98","Credit Card","Completed"
"O500115","2024-05-18 00:00:00","C202512","P100572","S3054","5","3164.7","0","0","15823.5","15823.5","9766.1","UPI","Completed"
"O500116","2024-03-30 00:00:00","C203700","P100726","S3049","3","5734.5","5","860.18","17203.5","16343.32","8494.96","UPI","Returned"
"O500117","2024-02-26 00:00:00","C204220","P100396","S3117","2","3522","5","352.2","7044","6691.8","68.84","Debit Card","Completed"
"O500118","2024-08-11 00:00:00","C203434","P100590","S3083","2","2830.43","5","283.04","5660.86","5377.82","1712.46","Credit Card","Completed"
"O500119","2024-03-20 00:00:00","C200797","P100286","S3009","3","6639.73","15","2987.88","19919.19","16931.31","16185.69","Cash","Completed"
"O500120","2024-12-16 00:00:00","C200162","P100405","S3073","3","1960.47","5","294.07","5881.41","5587.34","-7493.35","Credit Card","Cancelled"
"O500121","2024-01-03 00:00:00","C200068","P100712","S3077","3","5152.57","15","2318.66","15457.71","13139.05","8305.27","Debit Card","Completed"
"O500122","2024-04-11 00:00:00","C201888","P100342","S3070","3","7351.17","0","0","22053.51","22053.51","14855.25","Cash","Cancelled"
"O500123","2025-09-23 00:00:00","C201268","P100569","S3116","5","7873.38","0","0","39366.9","39366.9","22660.35","Wallet","Completed"
"O500124","2025-05-16 00:00:00","C203567","P100398","S3069","3","4847.23","20","2908.34","14541.69","11633.35","1812.55","UPI","Completed"
"O500125","2025-08-19 00:00:00","C203852","P100617","S3093","1","2264.08","0","0","2264.08","2264.08","500.89","UPI","Cancelled"
"O500126","2024-02-14 00:00:00","C201328","P100359","S3032","5","844.55","15","633.41","4222.75","3589.34","2310.39","UPI","Completed"
"O500127","2024-07-14 00:00:00","C200011","P100081","S3067","3","6325.83","20","3795.5","18977.49","15181.99","11066.62","Cash","Completed"
"O500128","2025-03-14 00:00:00","C201076","P100560","S3021","3","3711.5","0","0","11134.5","11134.5","-3236.25","UPI","Completed"
"O500129","2024-04-19 00:00:00","C201421","P100558","S3118","3","264.95","10","79.48","794.85","715.36","-327.74","Wallet","Completed"
"O500130","2024-06-11 00:00:00","C200927","P100519","S3083","3","7339.75","0","0","22019.25","22019.25","13041.27","Debit Card","Completed"
"O500131","2025-02-03 00:00:00","C201159","P100687","S3099","3","2842.66","20","1705.6","8527.98","6822.38","-1276.99","UPI","Completed"
"O500132","2025-11-03 00:00:00","C203144","P100695","S3014","3","688.75","10","206.62","2066.25","1859.62","80.05","Credit Card","Completed"
"O500133","2024-04-19 00:00:00","C204763","P100224","S3082","4","5281.7","0","0","21126.8","21126.8","13984.4","Debit Card","Completed"
"O500134","2024-10-31 00:00:00","C204431","P100748","S3103","1","110.25","0","0","110.25","110.25","-3723.39","Wallet","Completed"
"O500135","2025-02-14 00:00:00","C200392","P100043","S3000","2","7667.94","15","2300.38","15335.88","13035.5","9012.7","UPI","Completed"
"O500136","2024-09-16 00:00:00","C200354","P100575","S3000","5","4367.95","20","4367.95","21839.75","17471.8","-7342.15","Cash","Completed"
"O500137","2025-06-17 00:00:00","C202644","P100294","S3007","4","2835.7","20","2268.56","11342.8","9074.24","524.16","Debit Card","Returned"
"O500138","2025-03-26 00:00:00","C204686","P100433","S3116","2","1815.02","5","181.5","3630.04","3448.54","-2784.42","UPI","Returned"
"O500139","2025-01-03 00:00:00","C200061","P100726","S3003","5","5734.5","20","5734.5","28672.5","22938","9857.4","Credit Card","Completed"
"O500140","2025-09-16 00:00:00","C202921","P100574","S3013","2","2775.87","20","1110.35","5551.74","4441.39","2832.47","Credit Card","Completed"
"O500141","2025-03-04 00:00:00","C202089","P100038","S3094","4","121.42","10","48.57","485.68","437.11","-18951.13","Cash","Completed"
"O500142","2025-03-28 00:00:00","C200685","P100429","S3047","5","1719.38","0","0","8596.9","8596.9","2722","UPI","Completed"
"O500143","2024-06-03 00:00:00","C204720","P100445","S3010","4","981.6","15","588.96","3926.4","3337.44","-8899.08","Wallet","Completed"
"O500144","2025-03-31 00:00:00","C202804","P100335","S3079","1","4409.45","10","440.94","4409.45","3968.5","863.63","Debit Card","Completed"
"O500145","2025-10-07 00:00:00","C201666","P100696","S3100","4","4044.94","15","2426.96","16179.76","13752.8","2703.2","Debit Card","Completed"
"O500146","2025-07-09 00:00:00","C201137","P100202","S3058","3","6307.32","0","0","18921.96","18921.96","17696.13","UPI","Completed"
"O500147","2024-12-06 00:00:00","C203663","P100449","S3106","2","3988.89","15","1196.67","7977.78","6781.11","-2778.57","Wallet","Completed"
"O500148","2025-10-22 00:00:00","C202026","P100358","S3102","5","4362.33","10","2181.17","21811.65","19630.48","6826.44","UPI","Completed"
"O500149","2024-09-28 00:00:00","C202050","P100260","S3046","3","3388.67","20","2033.2","10166.01","8132.81","4727.48","UPI","Cancelled"
"O500150","2025-02-17 00:00:00","C204152","P100324","S3034","5","6147.23","15","4610.42","30736.15","26125.73","22636.63","UPI","Completed"
"O500151","2025-04-02 00:00:00","C204616","P100054","S3012","1","4776.91","10","477.69","4776.91","4299.22","-94.21","Cash","Completed"
"O500152","2025-06-18 00:00:00","C204347","P100296","S3070","5","6010.7","15","4508.02","30053.5","25545.48","10634.82","UPI","Completed"
"O500153","2024-09-09 00:00:00","C201463","P100468","S3105","3","551.44","5","82.72","1654.32","1571.6","-7641.85","Debit Card","Completed"
"O500154","2025-08-14 00:00:00","C203652","P100180","S3016","3","988.97","10","296.69","2966.91","2670.22","-10024.82","Cash","Completed"
"O500155","2025-05-09 00:00:00","C200046","P100791","S3054","5","6159.14","5","1539.78","30795.7","29255.92","6262.47","UPI","Completed"
"O500156","2025-12-04 00:00:00","C202527","P100765","S3003","3","3991.01","15","1795.95","11973.03","10177.08","-1833.84","Credit Card","Completed"
"O500157","2025-02-24 00:00:00","C201140","P100657","S3022","4","5564.86","0","0","22259.44","22259.44","19242.92","Credit Card","Completed"
"O500158","2024-05-04 00:00:00","C202026","P100529","S3014","2","3489.79","0","0","6979.58","6979.58","5608.48","Debit Card","Completed"
"O500159","2024-11-13 00:00:00","C203031","P100694","S3018","2","2452.56","5","245.26","4905.12","4659.86","-269.9","Wallet","Completed"
"O500160","2024-09-25 00:00:00","C202858","P100740","S3046","2","2595.29","5","259.53","5190.58","4931.05","1895.35","Debit Card","Completed"
"O500161","2025-04-23 00:00:00","C202329","P100242","S3091","2","2588.75","5","258.88","5177.5","4918.62","-3803.98","Credit Card","Completed"
"O500162","2025-01-25 00:00:00","C204773","P100654","S3067","3","3856.6","15","1735.47","11569.8","9834.33","-636.93","UPI","Completed"
"O500163","2025-07-02 00:00:00","C200816","P100246","S3024","4","7869.49","5","1573.9","31477.96","29904.06","13570.54","UPI","Completed"
"O500164","2025-05-02 00:00:00","C200265","P100253","S3071","4","3567.36","15","2140.42","14269.44","12129.02","1506.26","Credit Card","Completed"
"O500165","2025-11-22 00:00:00","C204385","P100663","S3109","5","1748.78","20","1748.78","8743.9","6995.12","-5863.08","Debit Card","Completed"
"O500166","2024-11-06 00:00:00","C203104","P100573","S3057","2","3133.25","5","313.33","6266.5","5953.18","1899.96","Debit Card","Completed"
"O500167","2025-12-06 00:00:00","C201574","P100495","S3024","5","4309.02","0","0","21545.1","21545.1","508.55","Credit Card","Completed"
"O500168","2024-10-16 00:00:00","C202739","P100202","S3004","2","6307.32","10","1261.46","12614.64","11353.18","10535.96","UPI","Returned"
"O500169","2025-08-10 00:00:00","C201625","P100053","S3099","4","7098.67","0","0","28394.68","28394.68","26383.24","Credit Card","Returned"
"O500170","2024-04-30 00:00:00","C200139","P100585","S3009","2","536.57","10","107.31","1073.14","965.83","-6876.25","UPI","Completed"
"O500171","2024-03-31 00:00:00","C200633","P100495","S3035","4","4309.02","20","3447.22","17236.08","13788.86","-3040.38","Credit Card","Completed"
"O500172","2025-01-25 00:00:00","C203804","P100377","S3067","5","6373.06","15","4779.8","31865.3","27085.51","2830.21","UPI","Completed"
"O500173","2025-08-21 00:00:00","C200291","P100563","S3084","5","999.82","5","249.96","4999.1","4749.15","-473.95","Debit Card","Completed"
"O500174","2024-11-24 00:00:00","C204211","P100299","S3090","4","2870.81","5","574.16","11483.24","10909.08","-1625.64","Cash","Completed"
"O500175","2024-01-25 00:00:00","C200987","P100435","S3006","3","935.56","0","0","2806.68","2806.68","-2983.14","Debit Card","Completed"
"O500176","2024-04-11 00:00:00","C202498","P100077","S3082","3","543.72","15","244.67","1631.16","1386.49","-11010.02","Credit Card","Completed"
"O500177","2025-10-29 00:00:00","C202025","P100169","S3092","1","3754.35","0","0","3754.35","3754.35","2649.48","Wallet","Completed"
"O500178","2025-12-03 00:00:00","C202705","P100419","S3110","4","3822.15","15","2293.29","15288.6","12995.31","2014.43","Wallet","Completed"
"O500179","2024-12-08 00:00:00","C203484","P100167","S3111","1","1648.93","5","82.45","1648.93","1566.48","-2909.31","UPI","Completed"
"O500180","2024-04-18 00:00:00","C203615","P100589","S3068","3","4497.05","15","2023.67","13491.15","11467.48","7410.25","Credit Card","Returned"
"O500181","2025-04-16 00:00:00","C203679","P100437","S3104","5","6436.48","15","4827.36","32182.4","27355.04","14257.79","Debit Card","Returned"
"O500182","2024-09-10 00:00:00","C201069","P100360","S3116","5","1995.8","15","1496.85","9979","8482.15","4560.65","Wallet","Completed"
"O500183","2024-08-02 00:00:00","C202209","P100082","S3035","1","4176.77","20","835.35","4176.77","3341.42","-1057.8","Debit Card","Completed"
"O500184","2024-02-04 00:00:00","C202222","P100704","S3079","3","2305.56","10","691.67","6916.68","6225.01","-993.86","Debit Card","Returned"
"O500185","2025-09-15 00:00:00","C202010","P100603","S3095","1","3209.49","10","320.95","3209.49","2888.54","1806.41","Debit Card","Completed"
"O500186","2025-06-14 00:00:00","C202870","P100141","S3007","5","2233.84","5","558.46","11169.2","10610.74","-1733.16","Cash","Completed"
"O500187","2025-08-27 00:00:00","C200076","P100212","S3003","3","6974.98","15","3138.74","20924.94","17786.2","16078","Cash","Completed"
"O500188","2024-05-16 00:00:00","C203001","P100129","S3013","4","4912.98","20","3930.38","19651.92","15721.54","8673.06","Debit Card","Completed"
"O500189","2024-04-05 00:00:00","C200446","P100031","S3089","2","4476.27","5","447.63","8952.54","8504.91","6121.27","Debit Card","Completed"
"O500190","2024-10-23 00:00:00","C201710","P100092","S3004","3","7470.26","20","4482.16","22410.78","17928.62","6600.77","Credit Card","Returned"
"O500191","2024-01-07 00:00:00","C203391","P100001","S3056","3","7878.58","5","1181.79","23635.74","22453.95","16046.79","Credit Card","Completed"
"O500192","2025-03-03 00:00:00","C203717","P100170","S3003","5","7778.28","10","3889.14","38891.4","35002.26","33981.71","Debit Card","Completed"
"O500193","2025-09-26 00:00:00","C200556","P100567","S3115","5","4855.31","0","0","24276.55","24276.55","5311.5","Debit Card","Completed"
"O500194","2024-09-03 00:00:00","C203030","P100169","S3036","2","3754.35","20","1501.74","7508.7","6006.96","3797.22","Cash","Completed"
"O500195","2025-01-16 00:00:00","C204940","P100432","S3053","5","140.7","10","70.35","703.5","633.15","-16155.1","Wallet","Completed"
"O500196","2025-05-07 00:00:00","C200878","P100720","S3096","1","3638.85","20","727.77","3638.85","2911.08","-293.07","Wallet","Returned"
"O500197","2024-04-30 00:00:00","C204690","P100097","S3072","5","1017.22","5","254.31","5086.1","4831.8","-15857.16","Debit Card","Completed"
"O500198","2024-03-01 00:00:00","C201147","P100509","S3006","4","5564.54","15","3338.72","22258.16","18919.44","4129.32","Debit Card","Completed"
"O500199","2024-07-11 00:00:00","C201505","P100132","S3023","4","5283.08","5","1056.62","21132.32","20075.7","2619.26","Cash","Completed"
"O500200","2025-08-03 00:00:00","C201734","P100404","S3049","3","5644.86","10","1693.46","16934.58","15241.12","9048.55","Cash","Completed"
"O500201","2025-07-17 00:00:00","C202796","P100041","S3076","3","5986.21","10","1795.86","17958.63","16162.77","1238.4","UPI","Completed"
"O500202","2025-12-27 00:00:00","C204338","P100508","S3022","5","6777.19","10","3388.6","33885.95","30497.35","26089","Credit Card","Returned"
